CaseID,SCQ_1,SCQ_2,SCQ_3,SCQ_4,SCQ_5,SCQ_6,SCQ_7,SCQ_8,SCQ_9,SCQ_10,WIS_1,WIS_2,WIS_3,WIS_4,WIS_5,WIS_6,WIS_7,WIS_8,WIS_9,WIS_10,WIS_11,WIS_12,FIT_1,FIT_2,FIT_3,FIT_4,FIT_5,FIT_6,FIT_7,FIT_8,FIT_9,FIT_10,FIT_11,FIT_12,FIT_13,FIT_14,FIT_15,FIT_16,FIT_17
1,3,4,3,4,2,5,5,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2,4,4,4,4,4,2,2,4,4,4,2,2,1,1,1,1,1,1,1,1,1,1,3,2,4,3,3,3,2,2,4,2,2,4,2,2,2,6,4
3,3,2,3,6,4,3,3,4,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,4,2,1,2,2,2,2,1,3,1,1,2,2
4,5,5,2,5,5,2,4,4,4,3,2,1,1,2,2,1,1,1,1,1,1,1,2,2,2,2,1,1,3,2,2,2,3,2,2,2,2,2,3
5,1,1,2,3,1,1,2,5,2,5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,2,2,2,1,1,1,4,2,2,7,4
6,2,2,1,5,2,1,1,7,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,2,4
7,3,5,4,6,5,4,3,5,5,4,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,3,2,1,1,2,2,2,2,2,1,2,2,4,6
8,6,2,5,3,3,3,3,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,6,3,2,2,2,3,2,2,2,2,2,2,2,2,3
9,3,5,4,5,5,5,5,5,4,4,2,1,1,1,2,1,1,1,1,1,1,1,1,2,6,2,5,1,3,3,2,2,3,5,3,3,2,3,3
10,4,5,3,5,5,2,4,4,3,4,2,1,1,1,2,1,1,1,1,1,1,1,1,1,4,1,2,1,1,1,1,1,1,1,5,1,2,2,3
